"File","Shape","Rate"
"agubh2_master_ebi.csv",6.03996830293292,2.31328628040015
"amudaryadown_master_ebi.csv",5.12184296392213,2.5671832452291
"amudaryanew_master_ebi.csv",5.28932689895492,2.54396556839936
"betsiboka_master_ebi.csv",6.73632799282384,4.66648680156326
"bhareli_wide_master_ebi.csv",4.77857679877249,2.43519131856115
"brahmaputra_pandu_master_ebi.csv",4.50420686350903,1.07611158189094
"colville_master_ebi.csv",4.7020971388136,2.06963537592759
"congo_lukolela_bolobo_master_ebi.csv",7.48247566692075,1.16152995891863
"indus_r2_master_ebi.csv",4.68067909291664,1.87812827766937
"irrawaddy_master_ebi.csv",5.18929970111771,2.76227828341107
"irrawaddy_up_master_ebi.csv",5.84583741569554,3.15986966035344
"kasai_master_ebi.csv",5.18316324054563,1.91942354833963
"lena_master_ebi.csv",5.86396837871224,1.86836936292348
"mangoky_master_ebi.csv",5.34705554385422,3.33220678304902
"ob_down_master_ebi.csv",7.27035393368299,3.10714978130429
"ob_up_master_ebi.csv",6.1793468380801,2.31676542492034
"rakaia_master_ebi.csv",4.97430329396451,1.59866623498255
"southsask_master_ebi.csv",6.15583853551937,3.57429282387223
"tanana_master_ebi.csv",5.94172973240361,1.54030114111557
"yukon_eagle_master_ebi.csv",9.39321579010882,4.20275662368214
"yukon_master_ebi.csv",6.71122729133045,1.45664319284446
